City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
228,Potosi,BO,2022-06-12 12:28:09,-19.5836,-65.7531,34.25,29,0,2.24
229,Bafq,IR,2022-06-12 12:28:09,31.6128,55.4107,100.81,10,0,18.1
230,Anamur,TR,2022-06-12 12:28:09,36.0751,32.8369,78.48,63,2,17.83
231,Baijiantan,CN,2022-06-12 12:28:10,45.6333,85.1833,102.72,10,71,7.29
232,Athens,GR,2022-06-12 12:26:19,37.9795,23.7162,85.6,46,40,15.01
233,Neklyudovo,RU,2022-06-12 12:28:10,56.4114,43.9814,67.98,39,4,8.48
234,Constitucion,CL,2022-06-12 12:29:10,-35.3333,-72.4167,47.66,77,45,3.51
235,Manokwari,ID,2022-06-12 12:27:12,-0.8667,134.0833,79.41,80,71,3.67
236,Huangnihe,CN,2022-06-12 12:29:11,43.5583,128.0239,60.91,74,100,5.23
237,Yoichi,JP,2022-06-12 12:29:11,43.2039,140.7703,53.1,91,78,6.31
238,Paris,FR,2022-06-12 12:27:48,48.8534,2.3488,77.25,47,40,9.22
239,Singaraja,ID,2022-06-12 12:29:12,-8.112,115.0882,80.65,82,86,3.56
240,Gourcy,BF,2022-06-12 12:29:12,13.2167,-2.35,94.06,37,83,8.39
241,Arraial Do Cabo,BR,2022-06-12 12:28:33,-22.9661,-42.0278,67.86,88,75,10.36
242,Khatanga,RU,2022-06-12 12:29:13,71.9667,102.5,67.93,34,1,10.74
243,Qinhuangdao,CN,2022-06-12 12:29:13,39.9317,119.5883,64.72,97,94,1.7
244,Sarab,IR,2022-06-12 12:29:13,38.6066,44.9883,73.08,48,27,11.68
245,Kirkenaer,NO,2022-06-12 12:29:13,60.4564,12.0582,63.01,52,56,12.62
